id;e_id;p_id;chk_fg;lst_mtn_usr;lst_mtn_dt
1;87958;28076;Directives scalable e-tailers;state hack Guatemala;2023-08-10T06:53:39
2;12732;84824;Manager;Enhanced;2023-08-09T18:33:26
3;90422;75228;generation wireless;Assimilated;2023-08-10T09:12:34
4;95158;37322;overriding;deposit;2023-08-09T21:28:54
5;7773;11927;Lithuania web-readiness;Beauty Mauritania;2023-08-10T13:47:05
6;98689;6496;payment generate;Berkshire;2023-08-10T10:53:21
7;36609;32098;concept Dynamic;24/7 Assurance;2023-08-09T20:08:08
8;55773;60266;bandwidth;synergistic e-tailers Technician;2023-08-10T00:16:18
9;26906;39444;contingency;Sum Berkshire user-centric;2023-08-09T17:27:40
10;48515;5368;Latvian generating utilize;Beauty Industrial;2023-08-09T23:20:46
