id;evnt_nm;evnt_dt;venue;event_beg_time;event_end_time;lst_mtn_usr;lst_mtn_dt
1;networks Sports;2023-08-10T09:26:39;Handcrafted connecting;2023-08-10T11:59:24;2023-08-09T15:03:06;Pants Creative analyzer;2023-08-10T04:02:14
2;CSS deposit Angola;2023-08-10T01:48:39;bandwidth;2023-08-10T08:53:38;2023-08-10T08:04:27;THX Chips synthesize;2023-08-10T09:59:23
3;Loan Convertible orchestrate;2023-08-09T23:44:52;Mouse Facilitator of;2023-08-09T15:23:02;2023-08-09T19:24:16;Avon;2023-08-09T19:50:40
4;high-level Rubber Savings;2023-08-10T03:11:34;quantifying;2023-08-10T02:28:01;2023-08-10T06:03:04;台灣省 Producer;2023-08-10T14:29:04
5;Technician programming;2023-08-10T01:04:13;Sausages Small;2023-08-10T12:14:43;2023-08-09T20:12:21;collaboration Triple-buffered Bedfordshire;2023-08-09T18:15:34
6;User-friendly auxiliary;2023-08-10T04:23:57;solution-oriented;2023-08-10T02:51:32;2023-08-09T20:03:39;Avon mobile feed;2023-08-09T22:03:22
7;Tuna Car action-items;2023-08-10T10:07:54;overriding Identity COM;2023-08-10T01:10:37;2023-08-09T22:24:53;Auto Garden Gorgeous;2023-08-09T17:41:24
8;Communications panel;2023-08-09T22:13:45;Implementation mobile;2023-08-10T00:46:34;2023-08-10T10:37:20;cultivate plug-and-play hack;2023-08-09T15:43:27
9;西路 Unbranded;2023-08-09T16:54:23;Cotton Chief matrix;2023-08-09T20:57:04;2023-08-10T04:55:38;bandwidth;2023-08-09T21:43:03
10;cross-platform application;2023-08-09T19:44:01;multi-byte Avon;2023-08-09T20:44:53;2023-08-10T01:14:48;Plastic;2023-08-10T12:33:08
