id;m_id;p_id;e_id;mtch_end_time;score;win_fg;lst_mtn_usr;lst_mtn_dt
1;33322;91680;78776;2023-08-10T00:15:29;approach IB;empower Cotton Rupiah;Car Generic;2023-08-10T07:11:29
2;49464;20470;21775;2023-08-10T01:55:39;XML Account;Switchable;Advanced;2023-08-10T03:09:15
3;15975;60974;98221;2023-08-09T17:53:18;(customarily bandwidth 台灣省;Market customized;Operations;2023-08-10T05:37:23
4;65916;22296;92748;2023-08-09T18:22:45;Kyrgyz Granite;台灣省 cyan;parsing black;2023-08-10T14:03:48
5;73912;842;60679;2023-08-09T20:44:55;台灣省;infrastructures directional e-services;Unbranded Diverse withdrawal;2023-08-10T10:41:31
6;18286;63780;52090;2023-08-10T00:11:11;北路;街;fuchsia Home Swiss;2023-08-10T01:33:00
7;89079;82939;93663;2023-08-09T23:51:45;navigating;card;methodologies Awesome Hat;2023-08-10T11:05:51
8;23764;36284;24646;2023-08-09T18:18:02;haptic;Ball redundant Ergonomic;Wooden systems Future;2023-08-10T07:46:47
9;26516;25491;1827;2023-08-10T11:31:07;Investment;Unbranded;bypassing Granite;2023-08-10T07:04:29
10;47990;76825;44900;2023-08-10T12:44:02;福建省 synthesize;Cambridgeshire Kids Granite;synthesize;2023-08-09T23:57:44
