id;prod_no;ch_name;issu_dt;exp_dt
1;Legacy Architect;global Philippines Accounts;2023-08-07;2023-08-08
2;unleash radical Bacon;Metical;2023-08-07;2023-08-07
3;hybrid stable;Legacy logistical input;2023-08-08;2023-08-08
4;microchip Health;Pizza;2023-08-07;2023-08-07
5;福建省 Consultant;Usability;2023-08-07;2023-08-08
6;Account;New firewall;2023-08-08;2023-08-08
7;Brand;Dollar;2023-08-08;2023-08-07
8;lavender Chief circuit;overriding;2023-08-08;2023-08-07
9;index Steel;福建省;2023-08-07;2023-08-08
10;primary invoice;Chief;2023-08-08;2023-08-08
