id;team_nm;lst_mtn_usr;lst_mtn_dt
1;Nigeria;Analyst;2023-08-10T13:06:45
2;group Loan;bottom-line;2023-08-10T16:18:50
3;Hat;asymmetric collaborative;2023-08-10T16:52:41
4;Account action-items;Italy edge;2023-08-10T03:42:23
5;Ghana;asymmetric;2023-08-10T13:46:20
6;Lesotho Technician;Small navigate Architect;2023-08-10T03:46:06
7;Function-based override;back;2023-08-10T23:03:14
8;Integration Computers;Mouse United;2023-08-10T19:42:09
9;Lesotho Branding 街;reboot Accountability;2023-08-10T16:25:02
10;withdrawal Polarised Account;Checking;2023-08-10T07:06:35
