id;t_id;e_id;lst_mtn_usr;lst_mtn_dt
1;6758;88900;Senior optimize Outdoors;2023-08-12T22:23:50
2;9058;84898;南路;2023-08-12T15:37:56
3;66666;9505;cultivate;2023-08-12T18:06:29
4;37498;32838;modular;2023-08-13T01:05:51
5;19682;4604;Quality Pizza 台灣省;2023-08-12T17:28:08
6;6548;99862;Loan RAM;2023-08-13T07:59:06
7;21868;5043;Investor;2023-08-12T12:52:11
8;6142;61519;Generic quantifying;2023-08-12T19:51:18
9;39097;94936;connecting 台灣省;2023-08-13T07:05:26
10;66050;82172;overriding composite;2023-08-12T16:12:55
