id;t_id;p_id;lst_mtn_usr;lst_mtn_dt
1;58050;3447;haptic object-oriented;2023-08-11T00:29:08
2;20467;38593;Card matrices;2023-08-10T23:01:50
3;91637;25953;西路 Research invoice;2023-08-10T14:53:52
4;32843;51338;Integration;2023-08-10T18:18:22
5;19228;16181;西路;2023-08-10T04:15:31
6;72510;84829;Savings Account;2023-08-10T03:14:42
7;40498;6077;Handcrafted Grocery;2023-08-10T16:35:50
8;72717;6086;Functionality Avon;2023-08-10T13:47:07
9;24982;71031;feed Rico;2023-08-10T19:51:42
10;46847;27154;synthesize human-resource;2023-08-10T22:13:25
