id;u_id;t_id;lst_mtn_usr;lst_mtn_dt
1;14925;55979;backing;2023-08-24T14:54:53
2;9780;57814;Bedfordshire Auto;2023-08-25T00:12:04
3;57819;20884;台灣省 Practical Uganda;2023-08-24T15:15:58
4;72973;24078;Rubber back-end;2023-08-24T15:04:46
5;95926;88229;Small withdrawal;2023-08-24T12:14:15
6;92355;75231;digital calculating;2023-08-25T01:41:39
7;31663;20875;initiatives;2023-08-25T04:28:20
8;14719;24575;networks;2023-08-24T16:09:51
9;62885;27121;XSS;2023-08-24T15:16:17
10;37620;95216;National array Intelligent;2023-08-25T00:56:35
